"Timestamp","Name","Email Address","Wallet Address","Network","Product Rating","Which feature did you like the most?","What feature would you love to see or it's missing?","Did you encounter any bugs or usability issues when using the app?","Would you recommend circlo to others?","What Improvements would you like to see?"
"2026/07/17 10:53:58 AM GMT+1","Similoluwa Abidoye ","similoluwaeyitayoabidoye@gmail.com","GBS4LRXC4VZUZITITNVV7PGBLQGC7QMA3FA544WDZ2A5N7W2PRNPNQ6S","Testnet","5","I love how seamless it is the UI is simple ","I love how the error handling is when I haven't add my USDC trust line the app catches this ","No","Yes","N/A"
"2026/07/17 11:04:10 AM GMT+1","Sam","honsammie03@gmail.com","GDHSL2COJKRWFGZKSA2UNOXBFVHM56DTMPTOJNWETSUPBM5IOP7HFMWM","Testnet","5","circle savings","A page dedicated to see randoms circle that interest me","nah, smooth experience","Yes","as i mentioned in the feature"
"2026/07/17 1:28:22 PM GMT+1","Robbert Abimbola","robbertabimbola21@gmail.com","GDTZLLNX2URFAQTZ4WTPBQXP7DDNGAVJKRFPZO327LSKDSILRRFLLQZR","Testnet","5","The savings initiative ","I would love to see that i can sign in with google ","No","Yes","NA"
"2026/07/17 1:30:30 PM GMT+1","Adebayo korede","simzedev@gmail.com","GAIW6NC56EY7PNMJRSCB6UHWODJQHRM6FKDE4FBZVWWXHX7XMP3A3G5H","Testnet","5","I love it and looking forward to start using it","I would love to see the project to go live looking forward to use it","N/A","Yes","I love it"
"2026/07/17 1:39:50 PM GMT+1","Bola Toun","breevs21@gmail.com","GDJQ5XSLIMBHGRN2JCLMXKFXXQPQ5KPHQP2ZMJBQ7G3UIXQFFDJLSBM3","Testnet","5","The group savings","None for now","No ","Yes","NA"
"2026/07/17 1:45:09 PM GMT+1","Aruleba Robbert","arulebarobbert701@gmail.com","GBBJUWIIV5MNPBGHI6EXK4I4T3X3VUDUIAU3HTA4M4QLQ5E5J6EPKRMY","Testnet","4","The group savings ","NA ","NO","Yes","NA"
"2026/07/17 1:49:53 PM GMT+1","Zintarh Adegoke","simzeeth@gmail.com","GARR7M44YEB2KFCNPQFB74LOZ7OLOFN5CFPBDYHGDVSGUJRED477PXNO","Testnet","5","For seeing the activity of the contribution the time someone deposit and when the circle is created","I think a contributor should be able to trigger the payput without the admin","No","Yes","Triggering payout as a contributor "
"2026/07/17 1:56:03 PM GMT+1","John michael","attestify.xyz@gmail.com","GBIMTXTRWT6KJDUIY3KYXF2PDLS6INEC3S3NKM2AJLNMLSYCPHQ3CIGC","Testnet","5","I love the app the idea and how seamless the app is","Nothing to think of now","No","Yes","N/A"
"2026/07/17 2:03:33 PM GMT+1","Feyisara Arowolo","learnchain54@gmail.com","GC2GYZ7HZR27DNONXEP4QV2MH4BQYJ4AUICNQ6V5TD54HRLIMGY3TLCS","Testnet","5","I love the payout flow","I would love to see like a automatic payout qithout admin approval","No","Yes","Payout automatically "
"2026/07/17 2:09:28 PM GMT+1","Oreoluwa florence","oreoluwaflorence9@gmail.com","GC2GYZ7HZR27DNONXEP4QV2MH4BQYJ4AUICNQ6V5TD54HRLIMGY3TLCS","Testnet","5","How i can see the member and payout order","A user should be able to raise dispute","No","Yes","User should be able to raise dispute"
